pm2_5,pm10,co2,voc,temperature,humidity,aqi_category,suggestion
52.42,55.17,580.38,228.49,29.74,57.56,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
36.54,54.13,673.63,245.1,29.42,55.18,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
56.19,7.15,600.65,259.64,23.32,48.53,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
78.08,58.45,777.6,392.03,30.9,54.96,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
34.15,95.65,1049.29,137.92,20.55,62.36,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
34.15,25.4,557.24,123.05,24.73,53.11,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
79.48,106.7,1000.21,435.49,18.0,61.3,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
59.19,87.07,554.58,180.6,35.79,42.45,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
28.26,44.3,538.09,60.54,26.84,45.94,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
53.56,65.05,954.65,177.23,38.83,43.99,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
28.41,125.94,980.48,200.49,32.01,46.52,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
28.36,95.67,962.85,483.24,30.24,74.31,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
46.05,70.31,421.05,388.72,25.07,65.89,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
2.0,61.68,633.51,422.13,22.77,38.85,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
2.0,72.68,955.75,373.0,30.61,61.56,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
25.94,52.09,760.39,391.94,27.64,49.14,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
14.68,5.0,481.58,146.79,21.3,44.76,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
47.86,141.48,864.58,220.21,20.42,32.71,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
17.3,75.44,571.3,101.51,23.21,69.58,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
4.69,83.94,1198.63,218.43,37.1,34.54,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
76.64,67.97,1136.21,352.62,39.07,54.22,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
34.36,44.27,901.02,270.19,29.02,40.81,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
41.69,63.49,1090.25,446.72,28.74,66.64,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
4.38,14.02,766.2,78.79,26.32,49.98,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
26.39,149.7,941.36,325.04,23.33,52.98,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
42.77,26.79,1119.43,62.75,34.88,53.49,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
11.23,33.88,811.37,264.13,37.37,59.54,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
49.39,54.59,686.2,361.05,23.53,55.2,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
24.98,115.08,350.0,217.82,27.59,54.35,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
32.71,70.51,729.22,332.67,25.75,47.22,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
24.96,26.74,955.86,106.04,25.9,31.38,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
86.31,113.9,986.41,10.0,33.93,38.22,Moderate,Air quality is acceptable. Sensitive individuals should limit prolonged or heavy exertion.
39.66,95.59,876.09,333.55,21.44,65.78,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
13.56,88.85,614.68,511.6,30.33,50.41,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
60.56,95.05,350.0,100.59,31.64,45.04,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
9.48,153.8,626.2,433.33,27.29,33.91,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
45.22,146.48,673.91,256.51,32.47,29.21,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
2.0,45.96,671.77,49.65,28.74,44.45,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
6.8,126.84,904.64,80.27,34.09,68.32,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
44.92,83.41,1246.42,252.37,20.39,46.64,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
58.46,87.47,780.88,189.33,26.26,61.01,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
44.28,10.77,695.82,53.06,27.64,45.95,Good,Air quality is good. Normal indoor and outdoor activities are acceptable.
